ObjectNumber,Metadata_Plate,Metadata_Site,Metadata_Tags,Metadata_Well,Category,AreaShape_Area,Intensity_IntegratedIntensity_OrigAGP,Granularity_10_OrigMito
4,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,35512,95.91358839324676,1.8328477433162853
5,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,32792,109.93946834048256,1.8928266831158296
6,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,33535,109.55996099370532,1.424615587032028
7,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,2260,17.464454346336424,1.4446979716384472
8,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,23780,75.20462396019138,0.6849673999011143
9,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,20854,73.7866642177105,0.8655577586911597
10,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,27479,74.0413674148731,0.0399983875861851
11,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,30608,126.0622435202822,0.6682250603172997
12,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,53074,194.97876175958663,0.3694201914375414
13,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,49843,154.4047466160264,0.9389438548542388
14,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,28624,78.11694526299834,1.4032905145346493
15,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,12004,36.85262850183062,4.39500533958086
16,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,32653,100.0066838513594,1.785567740992053
17,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,5022,22.647211822215468,4.194511734022457
18,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,13675,36.99983220989816,0.6680604219600907
19,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,45573,133.34638045472093,1.0692144894653983
20,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,37612,113.72217957885005,0.9810347965008772
21,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,3582,28.854429313912988,0.7786111874400895
22,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,41345,119.18341371254064,0.0
23,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,30199,81.41861614747904,0.9373534941408436
24,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,2547,13.06237914110534,3.257678351201536
25,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,18212,51.4805982823018,0.1360065826940278
26,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,15152,43.4355841325596,0.3523643373220692
27,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,26448,75.59705527499318,0.4040208189189855
28,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,48514,174.75465183868073,1.419847806254951
29,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,51783,204.29561596736312,0.2337898590920871
30,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,16219,43.81214624131098,0.0
31,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,28890,80.21670874790289,1.0556710706047785
32,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,5202,21.843641197076067,0.1655325273681317
33,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,11845,33.50405135867186,0.0410137460581611
34,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,2592,7.1383383041247725,0.0923561010363971
35,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,26561,63.86002907855436,4.054456696028484
1,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,10279,23.59615475963801,0.0
2,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,24979,81.88387929461896,2.149539752995176
3,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,41023,142.29231822281145,0.0
4,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,70762,215.6248885418754,1.1420422901034912
5,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,48933,122.5284050256014,0.0615254523941549
6,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,30382,73.70116735785268,1.362772996296902
7,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,39742,124.6985737492796,0.6310730516199008
8,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,54140,209.4270568524953,0.9943737557194524
9,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,19219,72.87150443764403,1.618709457154639
10,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,36998,88.59087511477992,0.7275949598076714
11,MIG-Exp03-CP-40X-bin1X1,1,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,2531,20.34171078819781,4.481219542081036
